idnumber,trial,lineup,face,displaytime,interstim
703004,0,63,2,1000,9176
703004,1,53,3,500,14986
703004,2,71,5,1000,2834
703004,3,23,3,1000,140313
703004,4,29,3,1000,3756
703004,5,77,2,1000,2923
703004,6,76,1,500,5728
703004,7,37,4,500,2213
703004,8,50,2,1000,1948
703004,9,35,4,1000,2566
703004,10,10,3,500,2711
703004,11,81,3,1000,2068
703004,12,20,2,1000,2850
703004,13,58,1,500,2684
703004,14,83,6,1000,2258
703004,15,78,4,500,2757
703004,16,39,1,500,2021
703004,17,47,5,1000,2117
703004,18,38,6,500,2709
703004,19,54,1,1000,2112
703004,20,57,1,1000,4588
703004,21,62,4,500,2851
703004,22,46,3,1000,2258
703004,23,79,3,500,2568
703004,24,75,3,500,2258
703004,25,16,5,500,2209
703004,26,68,4,500,2520
703004,27,36,2,1000,2163
703004,28,44,1,500,2520
703004,29,52,3,1000,2163
703004,30,32,2,1000,2543
703004,31,69,4,500,2399
703004,32,19,2,500,1951
703004,33,30,6,500,2019
703004,34,45,5,500,2020
703004,35,9,2,1000,1901
703004,36,41,6,1000,2403
703004,37,42,3,1000,2683
703004,38,3,4,500,2757
703004,39,82,3,500,2139
885252,0,30,4,500,20232
885252,1,24,2,500,22088
885252,2,73,1,500,14621
885252,3,8,1,500,21410
885252,4,7,4,500,16218
885252,5,68,4,1000,21091
885252,6,67,4,1000,20447
885252,7,47,4,1000,23446
885252,8,78,2,500,19424
885252,9,39,2,1000,13104
885252,10,62,2,500,22248
885252,11,82,4,1000,19637
885252,12,15,3,1000,7891
885252,13,4,1,500,5162
885252,14,48,3,1000,6081
885252,15,17,6,1000,5552
885252,16,34,4,500,12515
885252,17,12,1,1000,14715
885252,18,51,3,1000,5539
885252,19,36,3,1000,5989
885252,20,41,5,500,5918
885252,21,42,3,1000,5230
885252,22,46,3,500,5633
885252,23,63,3,500,5086
885252,24,61,4,1000,4826
885252,25,16,4,1000,6728
885252,26,23,5,1000,6250
885252,27,81,3,500,5490
885252,28,66,4,500,5111
885252,29,64,5,500,18278
885252,30,69,1,1000,30164
885252,31,31,1,1000,6161
885252,32,71,3,500,9860
885252,33,74,2,500,2043
885252,34,44,2,1000,1952
885252,35,20,1,1000,2422
885252,36,83,2,1000,2971
885252,37,22,3,500,3067
885252,38,5,4,500,2426
885252,39,28,3,500,2351
